Time[s],MQB_CS_MQB_ACAN_KMatrix_V7.26F_20220621_HM::Kombi_01::KBI_angez_Geschw[Unit_KiloMeterPerHour]
0.10449,0
0.15424,0
0.20428,0
0.25429,0
0.30497,0
0.35431,0
0.40435,0
0.45439,0
0.50468,0
0.55429,0
0.60429,0
0.65439,0
0.70456,0
0.75428,0
0.80424,0
0.85428,0
0.90455,0
0.9543,0
1.00423,0
1.05445,0
1.10452,0
1.15446,0
1.20428,0
1.25426,0
1.3045,0
1.35426,0
1.40424,0
1.45426,0
1.50449,0
1.55424,0
1.60421,0
1.65427,0
1.7045,0
1.75434,0
1.8042,0
1.85422,0
1.90455,0
1.95425,0
2.00418,0
2.05427,0
2.10445,0
2.1544,0
2.20418,0
2.25423,0
2.30455,0
2.35422,0
2.40415,0
2.45418,0
2.50443,0
2.55421,0
2.60414,0
2.65419,0
2.70441,0
2.75423,0
2.80415,0
2.85425,0
2.9044,0
2.95414,0
3.00412,0
3.05426,0
3.10439,0
3.15431,0
3.2041,0
3.25414,0
3.30438,0
3.35414,0
3.40421,0
3.45413,0
3.50436,0
3.5541,0
3.60414,0
3.65414,0
3.70436,0
3.75411,0
3.80423,0
3.85427,0
3.90497,0
3.9544,0
4.00445,0
4.05447,0
4.10464,0
4.15497,0
4.20486,0
4.25497,0
4.30497,0
4.35459,0
4.40475,0
4.45486,0
4.50728,0
4.55433,0
4.60424,0
4.65439,0
4.70484,0
4.75409,0
4.8042,0
4.85405,0
4.90484,0
4.95405,0
5.00419,0
5.05457,0
5.10482,0
5.15413,0
5.20419,0
5.25405,0
5.30481,0
5.35404,0
5.40417,0
5.45403,0
5.50481,0
5.55402,0
5.60416,0
5.65415,0
5.70478,0
5.754,0
5.80416,0
5.85401,0
5.90476,0
5.95398,0
6.00411,0
6.05404,0
6.10476,0
6.15469,0
6.20418,0
6.25397,0
8.6038,0
8.65407,0
8.70433,0
8.75409,0
8.8038,0
8.85386,0
8.90397,0
8.95397,0
9.00372,0
9.05429,0
9.10397,0
9.15382,0
9.20371,0
9.25397,0
9.30397,0
9.35375,0
9.40366,0
9.45367,0
9.50397,0
9.55369,0
9.60383,0
9.65367,0
9.70433,0
9.75366,0
9.80363,0
9.85365,0
9.90397,0
9.95364,0
10.00365,0
10.05383,0
10.10397,0
10.15378,0
10.20364,0
10.25362,0
10.30385,0
10.35362,0
10.40363,0
10.45361,0
10.50384,0
10.5536,0
10.60362,0
10.65379,0
10.70425,0
10.75359,0
10.8036,0
10.85358,0
10.90397,0
10.95357,0
11.00355,0
11.05387,0
11.1038,0
11.15379,0
11.20356,0
11.2536,0
11.30379,0
11.35356,0
11.40352,0
11.45355,0
11.50377,0
11.55353,0
11.60351,0
11.65366,0
11.70416,0
11.75356,0
11.80355,0
11.85356,0
11.90374,0
11.95352,0
12.00348,0
12.05365,0
12.10373,0
12.15363,0
12.20347,0
12.25354,0
12.30374,0
12.35353,0
12.40345,0
12.45352,0
12.5037,0
12.55347,0
12.60346,0
12.65354,0
12.7037,0
12.75347,0
12.80343,0
12.85348,0
12.90408,0
12.95345,0
13.00344,0
13.05402,0
13.10366,0
13.15355,0
13.20351,0
13.25346,0
13.30397,0
13.35344,0
13.40397,0
13.45352,0
13.50397,0
13.55342,0
13.6036,0
13.65362,0
13.70399,0
13.75342,0
13.80337,0
13.85362,0
13.9037,0
13.9534,0
14.00342,0
14.05365,0
14.10365,0
14.15352,0
14.20335,0
14.25337,0
14.30364,0
14.35336,0
14.40333,0
14.45335,0
14.5036,0
14.55362,0
14.60332,0
14.65357,0
14.70356,0
14.75333,0
14.8033,0
14.85356,0
14.90355,0
14.95355,0
15.00329,0
15.05377,0
15.10358,0
15.15356,0
15.20327,0
15.25352,0
15.30357,0
15.35353,0
15.40326,0
15.4535,0
15.50352,0
15.55349,0
15.60327,0
15.65355,0
15.70351,0
15.75347,0
15.80324,0
15.85346,0
15.90349,0
15.95345,0
16.00322,0
16.05339,0
16.10348,0
16.15357,0
16.20325,0
16.25342,0
16.30349,0
16.35341,0
16.40319,0
16.4534,0
16.50345,0
16.55338,0
16.60322,0
16.65358,0
16.70345,0
16.75337,0
16.8032,0
16.85336,0
16.90343,0
16.95336,0
17.0032,0
17.05353,0
17.10341,0
17.15353,0
17.20318,0
17.25331,0
17.30347,0
17.35331,0
17.40317,0
17.45329,0
17.50338,0
17.55329,0
17.60311,0
17.65397,0
17.70336,0
17.75315,0
17.80312,0
17.85335,0
17.90335,0
17.95336,0
18.00308,0
18.05368,0
18.10336,0
18.15476,0
18.20331,0
18.25326,0
18.30372,0
18.35353,0
18.40353,0
18.45331,0
18.50402,0
18.5532,0
18.60323,0
18.6532,0
18.70329,0
18.75316,0
18.80312,0
18.85315,0
18.90332,0
18.95314,0
19.00302,0
19.05369,0
19.10326,0
19.15317,0
19.20301,0
19.25311,0
19.30333,0
19.35311,0
19.40299,0
19.4531,0
19.50328,0
19.55308,0
19.60298,0
19.65318,0
19.70323,0
19.75306,0
19.80297,0
19.85306,0
19.90325,0
19.95305,0
20.00306,0
20.05318,0
20.10326,0
20.15328,0
20.20297,0
20.25302,0
20.30328,0
20.35301,0
20.40299,0
20.453,0
20.50323,0
20.55306,0
20.60297,0
20.65355,0
20.7032,0
20.75297,0
20.80297,0
20.85297,0
20.90315,0
20.95297,0
21.00297,0
21.05317,0
21.10315,0
21.15325,0
21.20297,0
21.25297,0
21.30317,0
21.35297,0
22.55297,0
22.60284,0
22.65307,0
22.70373,0
22.75328,0
22.80284,0
22.85303,0
22.90355,0
22.95297,0
23.00282,0
23.0533,0
23.10306,0
23.15397,0
23.20283,0
23.25298,0
23.30353,0
23.35286,0
23.40282,0
23.45286,0
23.50307,0
23.55284,0
23.6028,0
23.65328,0
23.70324,0
23.75283,0
23.80279,0
23.85282,0
23.90299,0
23.9528,0
24.00279,0
24.05297,0
24.10298,0
24.15356,0
24.20273,0
24.25314,0
24.30297,0
24.35283,0
24.40271,0
24.45297,0
24.50297,0
24.55297,0
24.60274,0
24.65358,0
